id,Title,Type,Category,Source,Link,Length,Date,Coutry,Language,Relevance,Notes,,,,,,,
1,學者：李文亮的死將公眾不滿推至臨界點 - 20200207 - 有線中國組 - 有線新聞 i-Cable News,Video,Societal implications,Youtube,https://www.youtube.com/watch?v=_gBRqmicZdo&feature=youtu.be&app=desktop,2:42,2020-03-17,Mainland China,Mandarin,,,,,,,,,
2,Coronavirus Weakens China’s Powerful Propaganda Machine,video / image / text,Health; Politics/Government,nytimes.com,https://www.google.ch/amp/s/www.nytimes.com/2020/02/26/business/china-coronavirus-propaganda.amp.html,4:08,2020-03-17,Mainland China,English,,,,,,,,,
3,Huawei P Smart Pro Trailer Commercial,video,Advertisement,Youtube,https://www.youtube.com/watch?v=j2r042Oa8y0,0:49,2020-03-17,International,English,,,,,,,,,
4,Huawei P30 Series Official Trailer | Chinese Commercial,Video,Advertisement,Youtube,https://www.youtube.com/watch?v=8gs5RetSBDk,1:41,2020-03-17,Mainland China,Mandarin,,,,,,,,,
5,Huawei P30 Pro Commercial feat. Gal Gadot,Video,Advertisement,Youku,https://v.youku.com/v_show/id_XNDExNzUyMzU2MA==.html?spm=a2h0k.11417342.soresults.dtitle,1:00,2020-03-20,Mainland China,Mandarin,,,,,,,,,
6,Huawei Mate 30 TV Commercial,Video,Advertisement,Youku,https://v.youku.com/v_show/id_XNDM4NDE1NTQ0OA==.html?spm=a2h0k.11417342.soresults.dtitle,0:30,2020-03-20,Mainland China,Mandarin,,Error message,,,,,,,
7,Huwaei CNY 2020 Commercial,Video,Advertisement,Youku,https://v.youku.com/v_show/id_XNDQ4NzU1NjcxNg==.html?spm=a2h0c.8166622.PhoneSokuUgc_2.dtitle,0:30,2020-03-28,Mainland China,Mandarin,,Error message,,,,,,,
8,"Produced by Huawei PicturesL ""We, Huawei People"" - 华为2016最新宣传片 (2016 promotional video)",Video,Advertisement,Youku,https://v.youku.com/v_show/id_XMTQ1ODYyNDY0NA==.html?spm=a2h0k.11417342.soresults.dtitle,11:05,2020-03-20,Mainland China,Mandarin,,,,,,,,,
9,"Produced by Huawei Pictures: ""Light in Life"" shot on Huawei P30 Pro mobile",Video,Advertisement,Youku,https://v.youku.com/v_show/id_XNDIzMDcxMTMwMA==.html?spm=a2h0c.8166622.PhoneSokuUgc_1.dtitle,5:23,2020-03-28,Mainland China,Mandarin,,,,,,,,,
10,"Produced by Huawei Pictures: ""Gathering for Love""",Video,Advertisement,Youku,https://v.youku.com/v_show/id_XMzk1NjE1NTY2MA==.html?spm=a2h0c.8166622.PhoneSokuUgc_7.dtitle,6:32,2020-03-28,Mainland China,Mandarin,,,,,,,,,
11,Xiaomi Note TV Commercial,Video,Advertisement,Youku,https://v.youku.com/v_show/id_XMjgwNjAyMDAzMg==.html?spm=a2h0c.8166622.PhoneSokuUgc_3.dtitle,1:00,2020-03-28,Mainland China,Mandarin,,,,,,,,,
12,Xiaomi 6 TV Commercial,Video,Advertisement,Youku,https://v.youku.com/v_show/id_XMjc0MTg3NjU4OA==.html?spm=a2h0c.8166622.PhoneSokuUgc_23.dtitle,0:54,2020-03-28,Mainland China,Mandarin,,,,,,,,,
13,Xiaomi 9 TV Commercial,Video,Advertisement,Youku,https://v.youku.com/v_show/id_XNDA3MTgxNDA0OA==.html?spm=a2h0c.8166622.PhoneSokuUgc_19.dtitle,1:22,2020-03-28,Mainland China,Mandarin,,,,,,,,,
14,Xiaomi 10 TV Commercial,Video,Advertisement,Youku,https://v.youku.com/v_show/id_XNDU1MDc4MjA0OA==.html?spm=a2h0c.8166622.PhoneSokuUgc_12.dtitle,1:50,2020-03-28,Mainland China,Mandarin,,,,,,,,,
15,Dark Side Of Technology - 2020 China's Social Credit System,Video,Politics/Government; Surveillance,Youtube,https://www.youtube.com/watch?v=ZNIsxIyUFZc,2:14,2020-03-17,Mainland China,English,,,,,,,,,
16,China ranks 'good' and 'bad' citizens with 'social credit' system,Video,Politics/Government; Surveillance,Youtube / France 24,https://www.youtube.com/watch?v=NXyzpMDtpSE,4:36,2020-03-17,Mainland China,English,,,,,,,,,
17,China introduces corporate social credit system,Video,Politics/Government; Surveillance; Business/Economy,Youtube / DW news,https://www.youtube.com/watch?v=qH5ZUtvPhxs,4:49,2020-03-17,Mainland China,English,,,,,,,,,
18,"With Clubs Closed, China’s Homebound Musicians Get Experimental",Video / text,Health; Societal implications,Sixth Tone,http://www.sixthtone.com/news/1005236/with-clubs-closed%2C-chinas-homebound-musicians-get-experimental,1:32,2020-03-18,Mainland China,English / Mandarin,,,,,,,,,
19,"My Country, My People' (王菲 -《我和我的祖國) Music Video",Video,Politics/Government; Societal implications,Youtube,https://www.youtube.com/watch?v=qOHaJeVu5NE,4:01,2020-03-20,Mainland China,Mandarin,,,,,,,,,
20,China’s plan to build its first smart roads fully-covered by 5G networks in Beijing,Video,AI/Machine learning; Surveillance,SCMP,https://www.youtube.com/watch?v=rNwHD-pakRQ,1:00,2020-03-20,Mainland China,English / Mandarin,1,Use this information to find more relevant videos re: 'smart roads',,,,,,,
21,China's 1st intelligent expressway to be completed in 2022,Video,AI/Machine learning; Surveillance,News China TV,https://www.youtube.com/watch?v=e16p4vsXDHY,1:03,2020-03-20,Mainland China,English,1,Use this information to find more relevant videos re: 'smart roads',,,,,,,
22,Chinese President Xi Jinping's ‘Little Red App’,Video,Social media; Politics/Government,SCMP,https://www.youtube.com/watch?v=41BsnHIMlFs,2:43,2020-03-28,Mainland China,English / Mandarin,,,,,,,,,
23,Xuexi Qiangguo advertisement: Learning to Promote Public Welfare,Video,Advertisement; Social media; Politics/Government,QQ,https://v.qq.com/x/page/s0917j59j2o.html?spm=a2h0c.8166622.PhoneSokuUgc_2.dtitle,0:15,2020-03-28,Mainland China,Mandarin,,,,,,,,,
24,Xuexi Qiangguo advertisement: Learning for Powerful Public Service,Video,Advertisement; Social media; Politics/Government,QQ,https://v.qq.com/x/page/b3066qy3cn5.html?spm=a2h0c.8166622.PhoneSokuUgc_4.dtitle,2:11,2020-03-28,Mainland China,Mandarin,,no video correspondence,,,,,,,
25,Xuexi Qiangguo promotional video - Learning Power,Video,Advertisement; Social media; Politics/Government,Youku,https://v.youku.com/v_show/id_XNDEzOTQ3MDc0NA==.html?spm=a2h0c.8166622.PhoneSokuUgc_1.dtitle,6:35,2020-03-28,Mainland China,Mandarin,,,,,,,,,
26,"Xuexi Qiangguo educational talk/content video Mengman talks about ""Bamboo Stone_"" _ Learning Power",Video,Advertisement; Social media; Politics/Government,Youku,https://v.youku.com/v_show/id_XNDA2NTgwODkwMA==.html?spm=a2h0c.8166622.PhoneSokuUgc_31.dtitle,10:37,2020-03-28,Mainland China,Mandarin,,,,,,,,,
27,"Xuexi Qiangguo documentary video ""Forever Beginning""",Video,Politics/Government; Social media,Youku,https://v.youku.com/v_show/id_XNDIwMTAxOTc1Ng==.html?spm=a2h0c.8166622.PhoneSokuUgc_19.dtitle,5:52,2020-03-28,Mainland China,Mandarin,,,,,,,,,
28,Technology: AI in China,Video,AI/Machine learning; Social media; Suerveillance,CGTN America,https://www.youtube.com/watch?v=rrFwIShaSd8,10:02,2020-03-28,Mainland China,English / Mandarin,,,,,,,,,
29,Japanese_Research_Covid_Tech,Video,Health,NHK world Japan,https://drive.google.com/file/d/1wl3Lp7B_uzYcJmjTAV61_iAq47GYzDZ2/view?usp=sharing,05:34,2020-04-04,Japan,English,,,,,,,,,
30,ByteTour: ByteDance Shanghai Office Tour,Video,Social media,Youtube / Bytedance,https://www.youtube.com/watch?v=xRo5Y40oBls,1:03,2020-04-04,Mainland China,Mandarin,,,,,,,,,
31,TenCent Commercial 2011,Video,Advertisement; Social media,Youtube,https://www.youtube.com/watch?v=XERYuGZGOOg,2:02,2020-04-04,Mainland China,Mandarin,,,,,,,,,
32,Five ways China uses tech to screen Covid-19 patients,Video,Health,Abacus News,https://www.youtube.com/watch?v=W97O3pbCqP4,4:33,2020-04-04,Mainland China,English,,,,,,,,,
33,Five ways China is using drones to fight the coronavirus,Video,Health,Abacus News,https://www.youtube.com/watch?v=kwF8FgM4Cw8,4:00,2020-04-04,Mainland China,English,,,,,,,,,
34,Facial recognition now works with masks,Video,Surveillance,Abacus News,https://www.youtube.com/watch?v=3uB0d4j-nQM,0:59,2020-04-04,Mainland China,English,,,,,,,,,
35,Five ways police fight Covid-19 with tech,Video,Health,Abacus News,https://www.youtube.com/watch?v=_zL9Si7P2tI,3:43,2020-04-04,Mainland China,English,,,,,,,,,
36,The contactless elevator with holographic buttons,Video,Health,Abacus News,https://www.youtube.com/watch?time_continue=1&v=SK-aSzyKXRE&feature=emb_logo,0:55,2020-04-04,Mainland China,English,,,,,,,,,
37,Rokid adds fever detection to AR glasses amid pandemic,Video,Health,Abacus News,https://www.youtube.com/watch?v=_DiwTqjYeJ8,0:51,2020-04-04,Mainland China,English,,,,,,,,,
38,Five ways China is using facial recognition,Video,Surveillance,Abacus News,https://www.youtube.com/watch?v=Ib5Nv-l2Z4g,5:23,2020-04-04,Mainland China,English,,,,,,,,,
39,China's top university builds robot doctor,Video,Robotics,Abacus News,https://www.youtube.com/watch?v=7I7z-J0DLbs,0:59,2020-04-04,Mainland China,English,,,,,,,,,
40,China Tech 2010s: Growing up in China’s decade of tech transformation,Video,Societal implications,Abacus News,https://www.youtube.com/watch?v=eaH6-USIIiM&feature=emb_logo,5:22,2020-04-04,Mainland China,English,,,,,,,,,
41,China's self-driving vending machine,Video,Societal implications,Abacus News,https://www.youtube.com/watch?v=bqDU4M1e41Y,0:58,2020-04-04,Mainland China,English,,,,,,,,,
42,How China's tech bosses dance,Video,Societal implications,Abacus News,https://www.youtube.com/watch?time_continue=35&v=76AlQIOjnQs&feature=emb_logo,1:08,2020-04-04,Mainland China,English,,,,,,,,,
43,How China Is Using Artificial Intelligence in Classrooms | WSJ,Video,Societal implications; Education; Robotics; AI,WSJ,https://www.youtube.com/watch?v=JMLsHI8aV0g,5:43,2020-04-04,Mainland China,English,,,,,,,,,
44,Tencent’s new digs has AI security and WeChat controlled elevators,Video,AI/Machine learning; Robotics; Social media,Abacus News,https://www.abacusnews.com/video/big-guns/tencents-new-digs-has-ai-security-and-wechat-controlled-elevators/2131352,0:51,2020-04-04,Mainland China,English,,Video not present anymore,,,,,,,
45,Huawei wants you to let its phone do the driving,Video,AI/Machine learning; Societal implications,Abacus News,https://www.abacusnews.com/video/big-guns/huawei-wants-you-let-its-phone-do-driving/2135135,0:54,2020-04-04,Mainland China,English,,Video not present anymore,,,,,,,
46,China's 5G hospital,Video,AI/Machine learning; Societal implications,Abacus News,https://www.abacusnews.com/video/tech/chinas-5g-hospital/3038851,0:55,2020-04-04,Mainland China,English,,Video not present anymore,,,,,,,
47,China Masters Political Propaganda for the Instagram Age,Text / Images,Politics/Government; Social media,The New York Times,https://www.nytimes.com/2019/10/05/technology/china-propaganda-patriotism.html,0:00,2020-04-04,Mainland China,English,,,,,,,,,
